주문번호,주문일,회원등급,카테고리,수량,가격,단가,쿠폰사용,주문금액,총할인율,할인금액,배송비,최종결제금액,주문규모,월
ORD1,2024-06-24,일반,도서,4.0,12000,12000,True,48000.0,5,2400.0,0,45600.0,소형,6
ORD2,2024-01-26,일반,식품,3.0,5000,5000,False,15000.0,0,0.0,3000,18000.0,소형,1
ORD3,2024-03-08,일반,식품,1.0,12000,12000,True,12000.0,5,600.0,3000,14400.0,소형,3
ORD4,2024-05-31,실버,의류,1.0,12000,12000,True,12000.0,8,960.0,3000,14040.0,소형,5
ORD5,2024-04-13,일반,가전,4.0,12000,12000,False,48000.0,0,0.0,0,48000.0,소형,4
ORD6,2024-04-02,골드,식품,2.0,99000,99000,False,198000.0,5,9900.0,0,188100.0,중형,4
ORD7,2024-05-22,일반,의류,3.0,5000,5000,True,15000.0,5,750.0,3000,17250.0,소형,5
ORD8,2024-01-24,일반,식품,5.0,99000,99000,False,495000.0,0,0.0,0,495000.0,대형,1
ORD9,2024-03-13,일반,도서,3.0,48000,48000,True,144000.0,5,7200.0,0,136800.0,중형,3
ORD10,2024-03-30,실버,도서,4.0,48000,48000,False,192000.0,3,5760.0,0,186240.0,중형,3
ORD11,2024-04-20,골드,가전,2.0,12000,12000,False,24000.0,5,1200.0,3000,25800.0,소형,4
ORD12,2024-02-12,실버,도서,2.0,25000,25000,False,50000.0,3,1500.0,0,48500.0,소형,2
ORD13,2024-05-16,일반,가전,5.0,48000,48000,True,240000.0,5,12000.0,0,228000.0,대형,5
ORD14,2024-06-16,골드,뷰티,4.0,12000,12000,True,48000.0,10,4800.0,0,43200.0,소형,6
ORD15,2024-03-09,일반,가전,4.0,48000,48000,True,192000.0,5,9600.0,0,182400.0,중형,3
ORD16,2024-06-25,골드,의류,2.0,5000,5000,False,10000.0,5,500.0,3000,12500.0,소형,6
ORD17,2024-05-07,실버,식품,2.0,25000,25000,True,50000.0,8,4000.0,0,46000.0,소형,5
ORD18,2024-05-15,일반,의류,2.0,48000,48000,False,96000.0,0,0.0,0,96000.0,중형,5
ORD19,2024-06-21,실버,뷰티,1.0,25000,25000,False,25000.0,3,750.0,3000,27250.0,소형,6
ORD20,2024-01-01,실버,식품,1.0,48000,48000,False,48000.0,3,1440.0,0,46560.0,소형,1
ORD21,2024-03-16,일반,도서,5.0,25000,25000,False,125000.0,0,0.0,0,125000.0,중형,3
ORD22,2024-02-25,골드,뷰티,5.0,5000,5000,False,25000.0,5,1250.0,3000,26750.0,소형,2
ORD23,2024-01-07,일반,가전,1.0,99000,99000,False,99000.0,0,0.0,0,99000.0,중형,1
ORD24,2024-01-20,골드,가전,1.0,48000,48000,False,48000.0,5,2400.0,0,45600.0,소형,1
ORD25,2024-02-14,골드,가전,1.0,99000,99000,False,99000.0,5,4950.0,0,94050.0,중형,2
ORD26,2024-03-10,일반,뷰티,2.0,5000,5000,True,10000.0,5,500.0,3000,12500.0,소형,3
ORD27,2024-02-26,실버,도서,3.0,25000,25000,True,75000.0,8,6000.0,0,69000.0,중형,2
ORD28,2024-06-01,일반,가전,2.0,5000,5000,False,10000.0,0,0.0,3000,13000.0,소형,6
ORD29,2024-04-22,골드,뷰티,1.0,25000,25000,False,25000.0,5,1250.0,3000,26750.0,소형,4
ORD30,2024-02-04,실버,도서,1.0,48000,48000,True,48000.0,8,3840.0,0,44160.0,소형,2
ORD31,2024-02-26,일반,의류,1.0,5000,5000,False,5000.0,0,0.0,3000,8000.0,소형,2
ORD32,2024-02-08,골드,식품,4.0,48000,48000,False,192000.0,5,9600.0,0,182400.0,중형,2
ORD33,2024-01-05,일반,식품,1.0,5000,5000,False,5000.0,0,0.0,3000,8000.0,소형,1
ORD34,2024-05-17,실버,식품,3.0,12000,12000,False,36000.0,3,1080.0,0,34920.0,소형,5
ORD35,2024-03-28,일반,식품,5.0,48000,48000,False,240000.0,0,0.0,0,240000.0,대형,3
ORD36,2024-03-13,일반,가전,3.0,25000,25000,False,75000.0,0,0.0,0,75000.0,중형,3
ORD37,2024-03-24,골드,도서,1.0,12000,12000,True,12000.0,10,1200.0,3000,13800.0,소형,3
ORD38,2024-06-25,실버,도서,1.0,5000,5000,False,5000.0,3,150.0,3000,7850.0,소형,6
ORD39,2024-01-02,골드,의류,4.0,25000,25000,False,100000.0,5,5000.0,0,95000.0,중형,1
ORD40,2024-05-24,실버,식품,2.0,12000,12000,False,24000.0,3,720.0,3000,26280.0,소형,5
ORD41,2024-04-28,일반,가전,4.0,48000,48000,True,192000.0,5,9600.0,0,182400.0,중형,4
ORD42,2024-06-08,VIP,의류,2.0,99000,99000,False,198000.0,10,19800.0,0,178200.0,중형,6
ORD43,2024-04-03,일반,식품,5.0,48000,48000,False,240000.0,0,0.0,0,240000.0,대형,4
ORD44,2024-06-21,일반,의류,2.0,25000,25000,False,50000.0,0,0.0,0,50000.0,중형,6
ORD45,2024-04-02,실버,가전,2.0,5000,5000,False,10000.0,3,300.0,3000,12700.0,소형,4
ORD46,2024-03-12,일반,가전,3.0,25000,25000,False,75000.0,0,0.0,0,75000.0,중형,3
ORD47,2024-01-24,일반,의류,2.0,12000,12000,False,24000.0,0,0.0,3000,27000.0,소형,1
ORD48,2024-01-11,골드,식품,4.0,99000,99000,True,396000.0,10,39600.0,0,356400.0,대형,1
ORD49,2024-02-05,일반,뷰티,4.0,48000,48000,False,192000.0,0,0.0,0,192000.0,중형,2
ORD50,2024-03-02,골드,뷰티,3.0,5000,5000,False,15000.0,5,750.0,3000,17250.0,소형,3
ORD51,2024-05-15,실버,뷰티,2.0,12000,12000,True,24000.0,8,1920.0,3000,25080.0,소형,5
ORD52,2024-05-31,일반,식품,4.0,25000,25000,False,100000.0,0,0.0,0,100000.0,중형,5
ORD53,2024-04-02,일반,뷰티,2.0,12000,12000,True,24000.0,5,1200.0,3000,25800.0,소형,4
ORD54,2024-05-29,일반,의류,3.0,5000,5000,False,15000.0,0,0.0,3000,18000.0,소형,5
ORD55,2024-04-10,VIP,가전,4.0,48000,48000,True,192000.0,15,28800.0,0,163200.0,중형,4
ORD56,2024-06-12,일반,식품,1.0,12000,12000,False,12000.0,0,0.0,3000,15000.0,소형,6
ORD57,2024-03-08,일반,가전,5.0,99000,99000,False,495000.0,0,0.0,0,495000.0,대형,3
ORD58,2024-05-03,일반,도서,2.0,25000,25000,True,50000.0,5,2500.0,0,47500.0,소형,5
ORD59,2024-01-20,골드,도서,5.0,25000,25000,False,125000.0,5,6250.0,0,118750.0,중형,1
ORD60,2024-06-04,일반,의류,1.0,48000,48000,True,48000.0,5,2400.0,0,45600.0,소형,6
ORD61,2024-01-05,골드,식품,1.0,25000,25000,False,25000.0,5,1250.0,3000,26750.0,소형,1
ORD62,2024-01-20,일반,가전,2.0,48000,48000,False,96000.0,0,0.0,0,96000.0,중형,1
ORD63,2024-02-03,VIP,뷰티,2.0,25000,25000,False,50000.0,10,5000.0,0,45000.0,소형,2
ORD64,2024-05-03,실버,식품,3.0,12000,12000,False,36000.0,3,1080.0,0,34920.0,소형,5
ORD65,2024-01-31,일반,의류,2.0,25000,25000,False,50000.0,0,0.0,0,50000.0,중형,1
ORD66,2024-03-14,VIP,도서,4.0,25000,25000,False,100000.0,10,10000.0,0,90000.0,중형,3
ORD67,2024-05-07,일반,뷰티,4.0,5000,5000,False,20000.0,0,0.0,3000,23000.0,소형,5
ORD68,2024-06-08,실버,가전,1.0,99000,99000,False,99000.0,3,2970.0,0,96030.0,중형,6
ORD69,2024-05-10,실버,식품,4.0,12000,12000,False,48000.0,3,1440.0,0,46560.0,소형,5
ORD70,2024-03-24,일반,의류,3.0,25000,25000,True,75000.0,5,3750.0,0,71250.0,중형,3
ORD71,2024-06-27,일반,뷰티,5.0,99000,99000,False,495000.0,0,0.0,0,495000.0,대형,6
ORD72,2024-05-26,일반,가전,5.0,12000,12000,False,60000.0,0,0.0,0,60000.0,중형,5
ORD73,2024-01-22,일반,가전,4.0,12000,12000,True,48000.0,5,2400.0,0,45600.0,소형,1
ORD74,2024-04-29,일반,식품,1.0,5000,5000,True,5000.0,5,250.0,3000,7750.0,소형,4
ORD75,2024-03-08,일반,식품,2.0,48000,48000,False,96000.0,0,0.0,0,96000.0,중형,3
ORD76,2024-02-17,VIP,가전,3.0,12000,12000,False,36000.0,10,3600.0,0,32400.0,소형,2
