카테고리,제목,저자,정가,할인가,이미지
[국내도서],"세네카, 오늘을 빼앗기고 있는 당신에게","루키우스 안나이우스 세네카 (지은이), 하와이 대저택 (편역) | 논픽션 | 2026년 7월","18,000","16,200원","['https://image.aladin.co.kr/product/39640/49/SpineShelf/K872130175_d.jpg', 'https://image.aladin.co.kr/product/39640/49/cover200/k872130175_1.jpg']"
[국내도서],그랬다고 적었다,김애란 (지은이) | 문학동네 | 2026년 8월,"17,000","15,300원","['https://image.aladin.co.kr/product/40019/36/SpineShelf/K742130236_d.jpg', 'https://image.aladin.co.kr/product/40019/36/cover200/k742130236_1.jpg']"
[국내도서],싯다르타,"헤르만 헤세 (지은이), 박병덕 (옮긴이) | 민음사 | 2002년 1월","8,000","7,200원","['https://image.aladin.co.kr/product/32/95/SpineShelf/S062934786_d.jpg', 'https://image.aladin.co.kr/product/32/95/cover200/s062934786_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],오뒷세이아,"호메로스 (지은이), 김헌 (옮긴이) | 을유문화사 | 2026년 8월","25,000","22,500원","['https://image.aladin.co.kr/product/39940/12/SpineShelf/S903130924_d.jpg', 'https://image.aladin.co.kr/product/39940/12/cover200/8932476462_2.jpg']"
[국내도서],오디세이아 (국내 유일 명화 104점 수록 완역본),"호메로스 (지은이), 페테르 파울 루벤스 (그림), 박문재 (옮긴이) | 현대지성 | 2025년 4월","27,000","24,300원","['https://image.aladin.co.kr/product/36239/0/SpineShelf/S172130016_d.jpg', 'https://image.aladin.co.kr/product/36239/0/cover200/k062038716_2.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],찌니주의보,정지아 (지은이) | 창비 | 2026년 8월,"16,800","15,120원","['https://image.aladin.co.kr/product/40013/75/SpineShelf/8936439995_d.jpg', 'https://image.aladin.co.kr/product/40013/75/cover200/8936439995_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],사카모토 데이즈 27 (더블 특전판),스즈키 유우토 (지은이) | 대원씨아이(만화) | 2026년 8월,"6,500","5,850원","['https://image.aladin.co.kr/product/40036/51/SpineShelf/K322130637_d.jpg', 'https://image.aladin.co.kr/product/40036/51/cover200/k322130637_1.jpg']"
[국내도서],투명한 나선,"히가시노 게이고 (지은이), 김선영 (옮긴이) | 북다 | 2026년 7월","22,000","19,800원","['https://image.aladin.co.kr/product/39802/11/SpineShelf/K082130602_d.jpg', 'https://image.aladin.co.kr/product/39802/11/cover200/k082130602_3.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],프로젝트 헤일메리 (알라딘 리커버 특별판),"앤디 위어 (지은이), 강동혁 (옮긴이) | 알에이치코리아(RHK) | 2026년 7월","22,000","19,800원","['https://image.aladin.co.kr/product/39679/83/SpineShelf/8925568640_d.jpg', 'https://image.aladin.co.kr/product/39679/83/cover200/8925568640_1.jpg']"
[국내도서],원소 원정대,"아게도리도리 (지은이), 박재현 (옮긴이), 장홍제 (감수) | 윌북주니어 | 2026년 5월","19,800","17,820원","['https://image.aladin.co.kr/product/39352/62/SpineShelf/K602138534_d.jpg', 'https://image.aladin.co.kr/product/39352/62/cover200/k602138534_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],수족관,유래혁 (지은이) | 포스터샵 | 2023년 12월,"17,700","15,930원","['https://image.aladin.co.kr/product/33081/18/SpineShelf/K582937507_d.jpg', 'https://image.aladin.co.kr/product/33081/18/cover200/k582937507_1.jpg']"
[국내도서],"안녕, 피터팬",전경철 (지은이) | 이야기장수 | 2026년 6월,"22,000","19,800원","['https://image.aladin.co.kr/product/39645/80/SpineShelf/K092130273_d.jpg', 'https://image.aladin.co.kr/product/39645/80/cover200/k092130273_2.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
