순위,곡명,아티스트
1,LOVE ATTACK,RESCENE(리센느)
2,갑자기,아이오아이 (I.O.I)
3,REDRED,CORTIS (코르티스)
4,여름아 부탁해,볼빨간사춘기
5,It's Me,아일릿(ILLIT)
6,Pretty Girl,RESCENE(리센느)
7,BAD,ATEEZ(에이티즈)
8,BiiiG,BIGBANG (빅뱅)
9,LEMONADE,aespa
10,만찬가,태연 (TAEYEON)
11,Drowning,WOODZ
12,캐치 캐치,YENA(최예나)
13,소문의 낙원,AKMU(악뮤)
14,Good Goodbye,화사(HWASA)
15,너의 차선,조선힙합
16,사랑하게 될 거야,한로로
17,Pop Off Pop Off,KiiiKiii (키키)
18,"기쁨, 슬픔, 아름다운 마음",AKMU(악뮤)
19,0+0,한로로
20,Less than a Lover,제니 (JENNIE)
21,타임캡슐,다비치
22,Lemon Tang,Hearts2Hearts (하츠투하츠)
23,RUDE!,Hearts2Hearts (하츠투하츠)
24,BANG BANG,IVE(아이브)
25,Deja Vu,RESCENE(리센느)
26,모르시나요 (PROD. 로코베리),조째즈
27,봄 내음보다 너를,김나영
28,404 (New Era),KiiiKiii (키키)
29,뛰어(JUMP),BLACKPINK
30,마음의 숲,조선힙합
31,Heavy Serenade,NMIXX
32,Surfin' Boy,Red Velvet (레드벨벳)
33,행복하지 말아요,DK(디셈버)
34,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤)
35,Golden,"HUNTR/X,EJAE,AUDREY NUNA,REI AMI,KPop Demon Hunters Cast"
36,나는 반딧불,황가람
37,어제보다 슬픈 오늘,우디 (Woody)
38,생각을 멈추다 보면,최유리
39,마음이라는 우물,조선힙합
40,너에게 닿기를,10CM
41,Vitamin ME,프로미스나인
42,입춘,한로로
43,너의 모든 순간,성시경
44,Stay,씨야(SeeYa)
45,Whiplash,aespa
46,Popcorn,도경수(D.O.)
47,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection)
48,Pretender,OFFICIAL HIGE DANDISM
49,멸종위기사랑,이찬혁
50,청춘만화,이무진
51,한 페이지가 될 수 있게,DAY6(데이식스)
52,내게 사랑이 뭐냐고 물어본다면,로이킴
53,like JENNIE,제니 (JENNIE)
54,BOOMPALA,LE SSERAFIM (르세라핌)
55,눈을 감아도(2026),순순희(지환)
56,주저하는 연인들을 위해,잔나비
57,So Cute,화사(HWASA)
58,비행기 (feat. 츄 (CHUU)),"한해,문세윤"
59,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON
60,3일 후,HYNN(박혜원)
61,REBEL HEART,IVE(아이브)
62,눈물이 더 가까운 사람 (2026),"먼데이 키즈,이홍기(FT아일랜드)"
63,APT.,"로제 (ROSÉ),Bruno Mars"
64,에피소드,이무진
65,Magnetic,아일릿(ILLIT)
66,"떠나가요, 떠나지마요 : 시대를 초월한 마음","순순희(기태),백예슬"
67,HAPPY,DAY6(데이식스)
68,함께라면요 (feat. 민니 (MINNIE)),"죠지,민니 (MINNIE)"
69,비의 랩소디,임재현
70,그래 늦지 않았어 (2025),"아샤트리,이예은,전건호"
71,Blue Valentine,NMIXX
72,BLACKHOLE,IVE(아이브)
73,toxic till the end,로제 (ROSÉ)
74,I AM,IVE(아이브)
75,슬픈 초대장,순순희(지환)
76,첫눈처럼 너에게 가겠다,에일리(Ailee)
77,나는 아픈 건 딱 질색이니까,i-dle (아이들)
78,그대 작은 나의 세상이 되어,카더가든
79,Die With A Smile,"Lady Gaga,Bruno Mars"
80,FAMOUS,ALLDAY PROJECT
81,헤어지자 말해요,박재정
82,시작의 아이,마크툽(Maktub)
83,Supernova,aespa
84,나의 하루처럼,성시경
85,WDA (Whole Different Animal) (Feat. G-DRAGON),aespa
86,MY LOVE(2025),"이예은,아샤트리,전건호"
87,Love wins all,아이유(IU)
88,고민중독,QWER
89,SPAGHETTI (feat. j-hope of BTS),"LE SSERAFIM (르세라핌),j-hope"
90,Love Love Love (Feat. Yoong Jin of Casker),에픽하이 (EPIK HIGH)
91,마치 오늘처럼,정승환
92,미치게 그리워서,황가람
93,Welcome to the Show,DAY6(데이식스)
94,BUMPA,비비(BIBI)
95,첫 만남은 계획대로 되지 않아,TWS(투어스)
96,Soda Pop,"Saja Boys,Andrew Choi,Neckwav,Danny Chung,Kevin Woo,samUIL Lee,KPop Demon Hunters Cast"
97,사고쳤어요,V.O.S
98,"TICK TOCK (Feat. ZICO) (Prod. by ZICO, Crush)","김하온(HAON),Nosun,Raf Sandou,Marv,정준혁"
99,오늘만 I LOVE YOU,BOYNEXTDOOR
100,ONE MORE TIME,ALLDAY PROJECT
