id,label
100000,sea
100001,forest
100002,buildings
100003,street
100004,sea
100005,mountain
100006,street
100007,forest
100008,street
100009,forest
100010,street
100011,forest
100012,street
100013,buildings
100014,sea
100015,mountain
100016,street
100017,buildings
100018,sea
100019,mountain
100020,forest
100021,mountain
100022,street
100023,buildings
100024,mountain
100025,street
100026,glacier
100027,forest
100028,sea
100029,glacier
100030,street
100031,forest
100032,mountain
100033,forest
100034,buildings
100035,glacier
100036,mountain
100037,buildings
100038,sea
100039,forest
100040,mountain
100041,mountain
100042,street
100043,glacier
100044,forest
100045,mountain
100046,street
100047,glacier
100048,buildings
100049,sea
100050,buildings
100051,sea
100052,mountain
100053,glacier
100054,buildings
100055,sea
100056,mountain
100057,forest
100058,forest
100059,glacier
100060,forest
100061,glacier
100062,buildings
100063,glacier
100064,mountain
100065,buildings
100066,glacier
100067,glacier
100068,forest
100069,mountain
100070,glacier
100071,forest
100072,street
100073,sea
100074,sea
100075,buildings
100076,buildings
100077,forest
100078,buildings
100079,mountain
100080,glacier
100081,buildings
100082,street
100083,mountain
100084,mountain
100085,glacier
100086,glacier
100087,sea
100088,forest
100089,sea
100090,buildings
100091,mountain
100092,street
100093,forest
100094,street
100095,forest
100096,glacier
100097,buildings
100098,sea
100099,buildings
100100,mountain
100101,sea
100102,street
100103,glacier
100104,forest
100105,mountain
100106,sea
100107,mountain
100108,buildings
100109,forest
100110,glacier
100111,mountain
100112,mountain
100113,street
100114,glacier
100115,glacier
100116,forest
100117,street
100118,sea
100119,buildings
100120,glacier
100121,street
100122,street
100123,mountain
100124,mountain
100125,buildings
100126,forest
100127,street
100128,mountain
100129,mountain
100130,mountain
100131,forest
100132,mountain
100133,mountain
100134,mountain
100135,glacier
100136,sea
100137,forest
100138,mountain
100139,sea
100140,glacier
100141,street
100142,mountain
100143,buildings
100144,forest
100145,street
100146,mountain
100147,street
100148,glacier
100149,mountain
100150,forest
100151,street
100152,street
100153,glacier
100154,forest
100155,street
100156,mountain
100157,glacier
100158,buildings
100159,street
100160,street
100161,mountain
100162,forest
100163,buildings
100164,buildings
100165,mountain
100166,buildings
100167,sea
100168,mountain
100169,forest
100170,glacier
100171,forest
100172,street
100173,forest
100174,sea
100175,glacier
100176,sea
100177,street
100178,sea
100179,forest
100180,mountain
100181,forest
100182,buildings
100183,glacier
100184,street
100185,buildings
100186,sea
100187,sea
100188,glacier
100189,buildings
100190,glacier
100191,glacier
100192,sea
100193,mountain
100194,glacier
100195,sea
100196,street
100197,sea
100198,buildings
100199,mountain
100200,forest
100201,forest
100202,buildings
100203,mountain
100204,sea
100205,mountain
100206,glacier
100207,glacier
100208,glacier
100209,sea
100210,mountain
100211,mountain
100212,mountain
100213,street
100214,glacier
100215,forest
100216,forest
100217,street
100218,sea
100219,mountain
100220,sea
100221,forest
100222,mountain
100223,sea
100224,forest
100225,sea
100226,street
100227,buildings
100228,glacier
100229,buildings
100230,glacier
100231,glacier
100232,street
100233,buildings
100234,buildings
100235,forest
100236,buildings
100237,glacier
100238,mountain
100239,buildings
100240,street
100241,buildings
100242,sea
100243,street
100244,sea
100245,mountain
100246,buildings
100247,sea
100248,street
100249,mountain
100250,mountain
100251,mountain
100252,glacier
100253,forest
100254,glacier
100255,buildings
100256,street
100257,sea
100258,mountain
100259,mountain
100260,buildings
100261,street
100262,glacier
100263,street
100264,buildings
100265,street
100266,mountain
100267,forest
100268,forest
100269,forest
100270,street
100271,glacier
100272,forest
100273,glacier
100274,mountain
100275,glacier
100276,street
100277,street
100278,buildings
100279,sea
100280,street
100281,forest
100282,forest
100283,sea
100284,glacier
100285,sea
100286,sea
100287,mountain
100288,buildings
100289,forest
100290,mountain
100291,glacier
100292,buildings
100293,glacier
100294,street
100295,forest
100296,mountain
100297,buildings
100298,forest
100299,sea
100300,forest
100301,buildings
100302,sea
100303,forest
100304,glacier
100305,glacier
100306,street
100307,mountain
100308,forest
100309,buildings
100310,buildings
100311,glacier
100312,street
100313,forest
100314,glacier
100315,mountain
100316,sea
100317,buildings
100318,mountain
100319,mountain
100320,sea
100321,sea
100322,mountain
100323,glacier
100324,glacier
100325,glacier
100326,forest
100327,buildings
100328,mountain
100329,mountain
100330,mountain
100331,mountain
100332,mountain
100333,mountain
100334,forest
100335,glacier
100336,forest
100337,sea
100338,forest
100339,mountain
100340,buildings
100341,glacier
100342,sea
100343,glacier
100344,forest
100345,forest
100346,street
100347,glacier
100348,mountain
100349,mountain
100350,street
100351,glacier
100352,mountain
100353,street
100354,buildings
100355,glacier
100356,street
100357,forest
100358,street
100359,forest
100360,mountain
100361,buildings
100362,sea
100363,buildings
100364,glacier
100365,sea
100366,sea
100367,glacier
100368,forest
100369,forest
100370,glacier
100371,street
100372,glacier
100373,sea
100374,mountain
100375,glacier
100376,mountain
100377,mountain
100378,sea
100379,glacier
100380,forest
100381,glacier
100382,glacier
100383,sea
100384,sea
100385,street
100386,buildings
100387,street
100388,mountain
100389,street
100390,mountain
100391,buildings
100392,buildings
100393,mountain
100394,mountain
100395,sea
100396,forest
100397,sea
100398,street
100399,sea
100400,forest
100401,street
100402,mountain
100403,mountain
100404,mountain
100405,buildings
100406,forest
100407,buildings
100408,mountain
100409,buildings
100410,sea
100411,street
100412,forest
100413,mountain
100414,buildings
100415,sea
100416,forest
100417,street
100418,buildings
100419,sea
100420,buildings
100421,glacier
100422,sea
100423,street
100424,street
100425,forest
100426,street
100427,sea
100428,buildings
100429,buildings
100430,mountain
100431,mountain
100432,street
100433,mountain
100434,forest
100435,street
100436,mountain
100437,mountain
100438,mountain
100439,buildings
100440,sea
100441,glacier
